Latitude,Longitude,Ellps Height (m),Geoid Height (m),Ortho Height (m)
9.23032,7.64413,609.251,23.12,586.13
9.22308,7.63216,640.953,23.14,617.81
8.57508,6.78177,275.782,23.14,252.64
8.56158,6.78179,258.564,23.17,235.4
8.52554,6.78046,161.285,23.21,138.07
8.49915,6.77969,173.216,23.24,149.98
8.482,6.78414,132.097,23.26,108.84
8.46572,6.7789,205.798,23.26,182.54
8.45896,6.78578,161.483,23.28,138.2
8.96716,7.08752,214.758,23.24,191.52
8.96725,7.09768,204.041,23.24,180.8
8.96732,7.10717,211.257,23.25,188.01
8.96212,7.10899,207.728,23.25,184.47
9.13163,7.29988,409.039,23.28,385.76
9.06868,7.46416,480.54,23.18,457.36
9.06734,7.48056,488.057,23.17,464.89
9.06888,7.48517,486.524,23.17,463.35
9.06927,7.48978,491.311,23.17,468.14
9.0694,7.49711,472.577,23.16,449.41
9.06912,7.5014,487.725,23.16,464.56
9.06691,7.5083,498.622,23.15,475.47
9.06634,7.51201,503.803,23.15,480.65
9.06572,7.51582,506.877,23.14,483.73
9.01983,7.48636,509.341,23.14,486.2
9.02832,7.4872,490.063,23.14,466.92
9.03724,7.48665,508.52,23.15,485.37
9.04279,7.4859,499.347,23.15,476.2
9.05038,7.47959,494.751,23.16,471.59
9.07177,7.48145,505.247,23.18,482.07
9.07765,7.48448,525.749,23.18,502.57
9.08436,7.49296,524.247,23.19,501.06
9.09045,7.49662,540.575,23.2,517.38
9.09737,7.49521,553.546,23.21,530.34
9.10306,7.49371,541.034,23.22,517.82
9.0917,7.48442,506.813,23.2,483.61
9.09378,7.47925,514.197,23.21,490.99
9.09927,7.46972,553.429,23.21,530.21
9.10482,7.4616,486.716,23.22,463.49
9.10783,7.45746,484.726,23.23,461.5
8.91887,7.44235,507.225,23.23,484
8.90248,7.45683,516.784,23.24,493.54
8.88662,7.4525,527.875,23.27,504.6
8.89008,7.4364,435.833,23.28,412.56
8.88531,7.46563,555.424,23.27,532.16
8.87288,7.44859,500.959,23.3,477.65
8.85949,7.44587,516.362,23.34,493.03
8.85354,7.435,608.492,23.36,585.14
8.84586,7.42792,702.434,23.38,679.06
8.84402,7.46537,567.866,23.35,544.51
8.84701,7.48411,592.87,23.32,569.55
9.00712,7.41778,445.424,23.17,422.25
9.06823,7.36614,424.627,23.19,401.43
9.06475,7.37139,419.341,23.19,396.15
9.06122,7.37441,421.363,23.19,398.17
9.06409,7.38053,411.266,23.19,388.08
9.05942,7.38383,405.283,23.19,382.1
9.05726,7.38306,404.23,23.19,381.04
9.05445,7.37829,414.088,23.19,390.9
9.0502,7.37241,426.934,23.19,403.75
9.04942,7.37058,433.226,23.19,410.04
9.04797,7.36778,429.595,23.19,406.41
9.04688,7.36491,423.597,23.19,400.41
9.0453,7.36227,422.522,23.19,399.33
9.04199,7.35746,413.385,23.19,390.2
9.0413,7.35561,409.687,23.19,386.5
9.03899,7.35011,396.095,23.19,372.9
9.03824,7.34849,398.959,23.19,375.77
9.03747,7.34458,402.919,23.19,379.73
9.03848,7.33786,385.071,23.19,361.88
9.03862,7.33152,385.174,23.2,361.98
9.03935,7.3269,379.033,23.2,355.84
9.04276,7.33073,373.246,23.2,350.05
9.04605,7.33274,368.109,23.2,344.91
9.05134,7.33467,379.223,23.2,356.03
9.0529,7.33627,379.58,23.2,356.38
9.05613,7.339,387.677,23.2,364.48
9.06104,7.34268,395.333,23.2,372.14
9.06578,7.2989,404.069,23.21,380.86
9.06162,7.34815,406.954,23.19,383.76
9.01375,7.26093,330.285,23.22,307.06
9.02334,7.26165,339.856,23.22,316.63
9.03572,7.26243,323.266,23.22,300.05
9.03555,7.26598,318.911,23.22,295.69
9.03506,7.27535,341.895,23.22,318.68
9.03449,7.28633,356.851,23.21,333.64
9.03424,7.29192,345.092,23.21,321.88
9.02993,7.29079,353.476,23.21,330.27
9.02358,7.28912,346.016,23.21,322.8
9.01329,7.2901,342.058,23.21,318.84
9.00761,7.29066,343.933,23.22,320.72
8.98054,7.28858,453.609,23.23,430.38
8.97412,7.28508,405.662,23.24,382.43
8.96269,7.2723,318.51,23.25,295.26
8.95913,7.2695,324.667,23.26,301.41
8.95356,7.26509,324.459,23.26,301.2
8.94976,7.26211,316.092,23.27,292.82
8.94916,7.24912,316.959,23.27,293.68
8.94899,7.24548,316.933,23.28,293.66
8.94845,7.23437,304.48,23.28,281.2
8.95304,7.2333,296.351,23.28,273.07
8.95782,7.23219,306.96,23.27,283.69
8.96278,7.23103,302.634,23.27,279.37
8.96734,7.22997,297.566,23.26,274.3
8.97286,7.22972,311.441,23.26,288.18
8.98364,7.22943,315.614,23.25,292.36
8.99116,7.23075,309.748,23.24,286.5
8.99886,7.23206,304.506,23.24,281.27
9.00055,7.23726,317.019,23.24,293.78
9.00375,7.23903,318.3,23.24,295.06
9.00682,7.24204,312.837,23.23,289.6
9.01476,7.24289,330.212,23.23,306.98
9.01401,7.25096,323.496,23.23,300.27
9.1315,7.39077,485.553,23.25,462.3
9.12856,7.39761,503.848,23.25,480.6
9.12448,7.40769,564.763,23.24,541.52
9.11648,7.41243,489.134,23.23,465.9
9.10785,7.41437,498.018,23.22,474.8
9.10179,7.4212,484.165,23.21,460.95
9.09483,7.42893,450.884,23.2,427.68
9.08765,7.43817,460.657,23.2,437.46
9.11978,7.30668,422.382,23.26,399.12
9.1287,7.31553,419.013,23.27,395.75
9.13038,7.32615,422.247,23.26,398.98
9.13728,7.33626,503.514,23.27,480.25
9.13781,7.35552,451.079,23.26,427.82
9.14386,7.36284,455.274,23.27,432
9.14619,7.37121,458.239,23.27,434.97
9.03164,7.17961,300.76,23.25,277.51
9.03779,7.18732,297.807,23.25,274.56
9.0434,7.19321,323.058,23.25,299.81
9.0524,7.19816,326.325,23.25,303.08
9.05977,7.20282,333.265,23.25,310.02
9.07253,7.20985,341.141,23.25,317.89
9.08446,7.21721,367.022,23.26,343.76
9.09229,7.21956,390.457,23.27,367.19
9.10428,7.21878,452.334,23.28,429.05
9.11238,7.24066,385.687,23.28,362.4
9.11864,7.24862,417.315,23.29,394.02
9.12756,7.26233,381.119,23.3,357.82
9.13057,7.27605,431.087,23.29,407.8
9.13179,7.28524,402.679,23.29,379.39
9.13139,7.29534,401.977,23.28,378.7
9.04034,7.49352,502.179,23.14,479.04
9.03961,7.51406,596.403,23.12,573.29
9.03601,7.43343,450.651,23.17,427.48
9.03618,7.42932,441.553,23.17,418.38
9.0412,7.41804,431.579,23.17,408.4
9.03857,7.41043,440.611,23.18,417.44
9.03841,7.40392,446.3,23.18,423.12
9.03842,7.40041,447.855,23.18,424.68
9.04013,7.39724,429.571,23.18,406.39
9.04613,7.39285,433.144,23.18,409.96
9.0516,7.39432,417.61,23.18,394.43
9.06351,7.3938,440.703,23.19,417.52
9.06566,7.40074,455.373,23.19,432.19
9.06786,7.4051,442.244,23.19,419.06
9.06621,7.41352,484.061,23.18,460.88
9.06078,7.4197,438.023,23.18,414.84
9.06084,7.42389,448.916,23.18,425.73
9.06083,7.42749,450.694,23.18,427.51
9.0628,7.43193,448.993,23.18,425.81
9.06414,7.44121,447.819,23.18,424.64
9.06806,7.44909,466.712,23.18,443.53
9.08906,7.43446,452.731,23.2,429.53
9.0881,7.42504,454.481,23.2,431.28
9.08967,7.42151,454.205,23.2,431.01
9.09011,7.41698,456.095,23.2,432.9
9.08689,7.40371,621.114,23.2,597.92
9.09911,7.3635,471.076,23.22,447.86
9.10284,7.36347,464.348,23.22,441.13
9.10503,7.36432,460.674,23.22,437.45
9.11683,7.37024,462.744,23.23,439.51
9.11939,7.37191,469.338,23.24,446.1
9.12455,7.37529,462.653,23.24,439.41
9.12783,7.37733,463.302,23.25,440.05
9.10733,7.38301,465.687,23.22,442.47
9.12596,7.38994,485.214,23.24,461.97
9.11465,7.39483,522.966,23.23,499.74
9.10833,7.39574,497.609,23.22,474.39
9.09562,7.39959,572.828,23.21,549.62
9.09815,7.40653,478.804,23.21,455.59
